date,workout_type,exercise_name,weight,set,rep,rest,hold_seconds
3/17/26,pull,pull-up,12,1,7,,
3/17/26,pull,pull-up,12,2,7,,
3/17/26,pull,pull-up,12,3,7,,
3/17/26,pull,pull-up,12,4,7,,
3/17/26,pull,pull-up,12,5,7,,
3/17/26,pull,advanced tucked front lever raise,0,1,3,,
3/17/26,pull,advanced tucked front lever raise,0,2,3,,
3/17/26,pull,advanced tucked front lever raise,0,3,3,,
3/17/26,pull,row,12,1,8,,
3/17/26,pull,row,12,2,8,,
3/17/26,pull,row,12,3,8,,
3/17/26,pull,row,12,4,8,,
3/17/26,pull,l-sit pull-up,0,1,3,,
3/17/26,pull,l-sit pull-up,0,2,3,,
3/18/26,push,decline push-up,16,1,8,,
3/18/26,push,decline push-up,16,2,8,,
3/18/26,push,decline push-up,16,3,8,,
3/18/26,push,decline push-up,16,4,8,,
3/18/26,push,dip,16,1,8,,
3/18/26,push,dip,16,2,8,,
3/18/26,push,dip,16,3,8,,
3/18/26,push,dip,16,4,8,,
3/18/26,push,elevated pike push-up,0,1,8,,
3/18/26,push,elevated pike push-up,0,2,8,,
3/18/26,push,elevated pike push-up,0,3,8,,
3/18/26,core,dragon flag,0,1,5,,
3/18/26,core,dragon flag,0,2,5,,
3/22/26,push,decline push-up,16,1,8,,
3/22/26,push,decline push-up,16,2,8,,
3/22/26,push,decline push-up,16,3,8,,
3/22/26,push,decline push-up,16,4,8,,
3/22/26,push,decline push-up,16,5,8,,
3/22/26,push,incline push-up,16,1,6,,
3/22/26,push,incline push-up,16,2,6,,
3/22/26,push,incline push-up,16,3,6,,
3/22/26,push,incline push-up,16,4,6,,
3/22/26,push,incline push-up,16,5,6,,
3/22/26,push,dip,16,1,6,,
3/22/26,push,dip,16,2,6,,
3/22/26,push,dip,16,3,6,,
3/22/26,push,dip,16,4,6,,
3/22/26,push,dip,16,5,6,,
3/22/26,push,push-up,0,1,8,,
3/22/26,push,push-up,0,2,8,,
3/22/26,core,dragon flag,0,1,4,,
3/22/26,core,dragon flag,0,2,4,,
3/22/26,core,dragon flag,0,3,4,,
3/22/26,core,knee raises,0,1,12,,
3/22/26,core,knee raises,0,2,12,,
3/22/26,core,knee raises,0,3,12,,
3/22/26,core,knee raises,0,4,12,,
3/23/26,pull,pull-up,16,1,7,,
3/23/26,pull,pull-up,16,2,7,,
3/23/26,pull,pull-up,16,3,7,,
3/23/26,pull,pull-up,16,4,7,,
3/23/26,pull,pull-up,16,5,7,,
3/23/26,pull,row,16,1,8,,
3/23/26,pull,row,16,2,8,,
3/23/26,pull,row,16,3,8,,
3/23/26,pull,row,16,4,8,,
3/23/26,pull,row,16,5,8,,
3/23/26,pull,chinups,0,1,8,,
3/23/26,pull,chinups,0,2,8,,
3/23/26,pull,chinups,0,3,8,,
3/25/26,push,decline push-up,16,1,8,,
3/25/26,push,decline push-up,16,2,8,,
3/25/26,push,decline push-up,16,3,8,,
3/25/26,push,decline push-up,16,4,8,,
3/25/26,push,decline push-up,16,5,8,,
3/25/26,push,dip,16,1,6,,
3/25/26,push,dip,16,2,6,,
3/25/26,push,dip,16,3,6,,
3/25/26,push,dip,16,4,6,,
3/25/26,push,dip,16,5,6,,
3/25/26,push,incline push-up,16,1,8,,
3/25/26,push,incline push-up,16,2,8,,
3/25/26,push,incline push-up,16,3,8,,
3/25/26,push,incline push-up,16,4,8,,
3/25/26,push,incline push-up,16,5,8,,
3/25/26,push,push-up,0,1,8,,
3/25/26,push,push-up,0,2,8,,
3/25/26,core,dragon flag,0,1,4,,
3/25/26,core,dragon flag,0,2,4,,
3/25/26,core,dragon flag,0,3,4,,
3/25/26,core,knee raise,0,1,10,,
3/25/26,core,knee raise,0,2,10,,
3/25/26,core,knee raise,0,3,10,,
3/25/26,core,knee raise,0,4,10,,
3/25/26,core,toes-to-bar,0,1,5,,
3/25/26,core,toes-to-bar,0,2,5,,